"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Tuesday October 5","EL-DoctorFortiGate-VM64","7.52","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08572204690426588058471680"
"Tuesday October 5","solex-S4-HANA-R5OJ-9/29","1328.90","2","HD#1: 200 GB, HD#2: 774 GB","974","1974.2620609756559133529663086"
"Tuesday October 5","Diyaa-Lap","65.73","1","HD#1: 100 GB","100","116.08515463024377822875976562"
"Tuesday October 5","Misr-Newvm","54.91","1","HD#1: 100 GB","100","108.08220413979142904281616211"
"Tuesday October 5","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Tuesday October 5","jump-hamd","17.83","1","HD#1: 300 GB","300","308.0864767311140894889831543"
"Tuesday October 5","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Tuesday October 5","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Tuesday October 5","Misr-MagentoDB1","27.73","1","HD#1: 512 GB","512","520.09376194886863231658935547"
"Tuesday October 5","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Tuesday October 5","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Tuesday October 5","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Tuesday October 5","jump-ahmed","73.78","1","HD#1: 500 GB","500","508.08631044533103704452514649"
"Tuesday October 5","frank-veeamone","45.21","1","HD#1: 200 GB","200","220.09344967175275087356567382"
"Tuesday October 5","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Tuesday October 5","Jump-Server-Karim","196.39","1","HD#1: 700 GB","700","716.08688191790133714675903321"
"Tuesday October 5","sofos_virtual_vm8","29.65","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937169168144464492797852"
"Tuesday October 5","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08621991612017154693603516"
"Tuesday October 5","Mis-Additioanal Domain","23.78","1","HD#1: 50 GB","50","54.082165656611323356628417969"
"Tuesday October 5","Misr-MTBIDEVAPP","147.01","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233693011105060577392578"
"Tuesday October 5","Misr-Web Server-copy","52.20","1","HD#1: 80 GB","80","84.08233020175248384475708008"
"Tuesday October 5","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706377074122428894042969"
"Tuesday October 5","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Tuesday October 5","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Tuesday October 5","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Tuesday October 5","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421673838049173355102539"
"Tuesday October 5","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Tuesday October 5","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Tuesday October 5","MISR-MTBIDEVDB","907.87","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181123638525605201721191"
"Tuesday October 5","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.70","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Tuesday October 5","MISR-TSMS","55.84","1","HD#1: 60 GB","60","68.086825980804860591888427734"
"Tuesday October 5","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Tuesday October 5","Misr-TestDB","11.16","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Tuesday October 5","Mis-Prod-APP-copy","2280.71","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425552424043416976928711"
"Tuesday October 5","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Tuesday October 5","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Tuesday October 5","Frank-OfficeOnline02","69.26","1","HD#1: 100 GB","100","125.08632812276482582092285156"
"Tuesday October 5","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632003329694271087646484"
"Tuesday October 5","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Tuesday October 5","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Tuesday October 5","Frank-OfficeOnline01","79.58","1","HD#1: 100 GB","100","125.08792323339730501174926757"
"Tuesday October 5","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Tuesday October 5","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08647412806749343872070312"
"Tuesday October 5","Elbatal-newcrm","58.59","1","HD#1: 170 GB","170","202.08978480473160743713378906"
"Tuesday October 5","test sophos","174.76","1","HD#1: 200 GB","200","208.08793331403285264968872070"
"Tuesday October 5","MISR-CARQASAPP","198.90","1","HD#1: 1024 GB","1024","1160.1300388192757964134216309"
"Tuesday October 5","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Tuesday October 5","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Tuesday October 5","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10111268237233161926269531"
"Tuesday October 5","Sama","31.68","1","HD#1: 200 GB","200","208.08677222020924091339111328"
"Tuesday October 5","VMware vCenter Server Appliance 6.7-Witness","32.18","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1155.7922526141628623008728027"
"Tuesday October 5","NFS-nextcloud-2021","28.63","1","HD#1: 500 GB","500","512.09271857049316167831420898"
"Tuesday October 5","Jump-server-Abdo","194.61","1","HD#1: 500 GB","500","516.08638011384755373001098633"
"Tuesday October 5","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Tuesday October 5","Misr-ERPQASDB","1063.49","1","HD#1: 3072 GB","3072","3352.1261540260165929794311524"
"Tuesday October 5","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Tuesday October 5","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Tuesday October 5","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Tuesday October 5","Frank-RODC-01","53.09","1","HD#1: 100 GB","100","116.08651213999837636947631836"
"Tuesday October 5","next-cloud-NFS-server","45.10","1","HD#1: 500 GB","500","552.58994609024375677108764649"
"Tuesday October 5","Misr-MagentoWeb1","17.25","1","HD#1: 256 GB","256","264.09374678693711757659912110"
"Tuesday October 5","Misr-ENTERPRISESRV","1074.10","1","HD#1: 1024 GB","1024","1074.1036180472001433372497558"
"Tuesday October 5","Frank-EventLog","3094.91","1","HD#1: 4024 GB","4024","4032.0862524462863802909851075"
"Tuesday October 5","RADUIS-Server","31.37","1","HD#1: 100 GB","100","108.09009007550776004791259766"
"Tuesday October 5","Mis-CAR-PRD APP Server","95.60","1","HD#1: 2048 GB","2048","2080.0943586453795433044433594"
"Tuesday October 5","Misr-SQL-Instance","780.07","1","HD#1: 1024 GB","1024","1280.2058424083516001701354980"
"Tuesday October 5","Misr-MagentoDB2","27.69","1","HD#1: 512 GB","512","520.09374590124934911727905274"
"Tuesday October 5","temp-v","200.00","1","HD#1: 200 GB","200","208.21226718183606863021850586"
"Tuesday October 5","MISR-NFS","11737.19","2","HD#1: 50 GB, HD#2: 13312 GB","13362","13366.085934264585375785827637"
"Tuesday October 5","Frank-DNS-MGMNT","53.29","2","HD#1: 100 GB, HD#2: 50 GB","150","166.08790053986012935638427734"
"Tuesday October 5","openmange-Idrace-Managment","428.60","1","HD#1: 412.51 GB","412.51","428.59512121975421905517578125"
"Tuesday October 5","Frank-Roaya-WebSite","24.41","1","HD#1: 300 GB","300","308.08589135296642780303955078"
"Tuesday October 5","vcenter-clone","183.25","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1171.8930753292515873908996582"
"Tuesday October 5","Mis-CAR-PRD DB Server","2720.54","1","HD#1: 2048 GB","2048","4183.3312981734052300453186036"
"Tuesday October 5","VMware vCenter Server Appliance 6.7-Passive","359.71","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1454.7623525606468319892883300"
"Tuesday October 5","Misr-Testapp","11.11","1","HD#1: 100 GB","100","104.08197442069649696350097656"
"Tuesday October 5","Alfa-DAXRDS-yhsv-Copy","107.78","1","HD#1: 250 GB","250","282.09573571290820837020874023"
"Tuesday October 5","Misr-e-commerce","158.09","1","HD#1: 150 GB","150","158.08583066146820783615112304"
"Tuesday October 5","MIS-CRM-PRD DB Server","630.60","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1700 GB","2000","2192.1419639512896537780761718"
"Tuesday October 5","nextcloud-nfs","4.29","1","HD#1: 500 GB","500","508.21271698828786611557006836"
"Tuesday October 5","IGI-AX-app","24.27","1","HD#1: 50 GB","50","52.085932243615388870239257812"
"Tuesday October 5","Frank-ADC-03","41.06","1","HD#1: 100 GB","100","116.08651682734489440917968750"
"Tuesday October 5","Mis-ERP DEV-PRD APP Server","770.85","2","HD#1: 100 GB, HD#2: 1900 GB","2000","2750.0883811078965663909912109"
"Tuesday October 5","Mis-SAP-H-DB","1339.32","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381464818492531776428222"
"Tuesday October 5","clone-nextcloud-dev-new-production","363.09","1","HD#1: 500 GB","500","850.1508025377988815307617188"
"Tuesday October 5","MIS-CRM-PRD APP Server","427.07","3","HD#1: 1700 GB, HD#2: 100 GB, HD#3: 200 GB","2000","2096.1413760297000408172607422"
"Tuesday October 5","Misr-ERPDEVDB","647.45","1","HD#1: 2355.20 GB","2355.2","2419.3100577313452959060668945"
"Tuesday October 5","Misr-Tableau","121.15","1","HD#1: 150 GB","150","166.08617874421179294586181640"
"Tuesday October 5","Misr-ERPPRDDB","3513.06","1","HD#1: 3072 GB","3072","3772.1783323548734188079833984"
"Tuesday October 5","MISR-SAP-CARAPP","116.57","1","HD#1: 2048 GB","2048","2112.1022383868694305419921875"
"Tuesday October 5","Jump-Server-MAli","34.78","1","HD#1: 100 GB","100","116.08640276268124580383300782"
"Tuesday October 5","Jump-Nada","46.05","1","HD#1: 200 GB","200","208.08692720718681812286376954"
"Tuesday October 5","Kayan-Egypt","117.36","1","HD#1: 320 GB","320","336.08562268316745758056640625"
"Tuesday October 5","Frank-Kbase-Source","346.77","2","HD#1: 100 GB, HD#2: 1024 GB","1124","1140.0864801509305834770202637"
"Tuesday October 5","IGI-AD","21.50","1","HD#1: 32 GB","32","33.082436106167733669281005860"
"Tuesday October 5","MISR-IVENDMC2","73.24","1","HD#1: 100 GB","100","116.09023985452950000762939453"
"Tuesday October 5","centos-block-storage","14354.21","2","HD#1: 500 GB, HD#2: 14336 GB","14836","14848.088198372162878513336182"
"Tuesday October 5","jump-eslam","110.04","1","HD#1: 300 GB","300","308.08634567353874444961547851"
"Tuesday October 5","jump-wahba","21.30","1","HD#1: 100 GB","100","116.21430716291069984436035156"
"Tuesday October 5","FortiGate","32.00","2","HD#1: 2 GB, HD#2: 30 GB","32","34.191492129117250442504882813"
"Tuesday October 5","esxi2","70.80","1","HD#1: 1500 GB","1500","1516.0940657602623105049133301"
"Tuesday October 5","Developers-VM6-Copy","31.75","1","HD#1: 500 GB","500","516.19610657263547182083129883"
"Tuesday October 5","sandbox","19.93","1","HD#1: 300 GB","300","316.21816515736281871795654296"
"Tuesday October 5","Mis-Winsows2012R2","870.68","4","HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB","3098","3188.1182152880355715751647950"
"Tuesday October 5","WP-Frank-Database3","400.00","1","HD#1: 400 GB","400","416.21424897480756044387817383"
"Tuesday October 5","Misr-MagentoDBLoad","21.64","1","HD#1: 128 GB","128","136.09377849102020263671875000"
"Tuesday October 5","esxi1","29.61","1","HD#1: 500 GB","500","520.09352923650294542312622070"
"Tuesday October 5","Mis-Manage","58.48","2","HD#1: 50 GB, HD#2: 500 GB","550","554.08044154290109872817993165"
"Tuesday October 5","Misr-PIPRD","2070.11","2","HD#1: 10 GB, HD#2: 1900 GB","1910","2070.1103596277534961700439454"
"Tuesday October 5","Frank-ADC-04","42.09","1","HD#1: 100 GB","100","116.08631162252277135848999023"
"Tuesday October 5","IGI-windows8","30.24","1","HD#1: 32 GB","32","36.082352556288242340087890625"
"Tuesday October 5","Mis-ERP DEV-PRD DB Server","261.96","3","HD#1: 150 GB, HD#2: 200 GB, HD#3: 2048 GB","2398","2438.1105805579572916030883789"
"Tuesday October 5","MISR-CARQASDB","695.79","1","HD#1: 2048 GB","2048","2168.1378145981580018997192383"
"Tuesday October 5","IGI-AX DB","47.27","1","HD#1: 200 GB","200","202.08198272809386253356933594"
"Tuesday October 5","Misr-Qatr","530.56","1","HD#1: 500 GB","500","532.09481031261384487152099609"
"Tuesday October 5","IGI-jump server","21.77","1","HD#1: 32 GB","32","36.082435344345867633819580078"
"Tuesday October 5","Misr-MagentoWebLoad","17.80","1","HD#1: 128 GB","128","136.09377695806324481964111328"
"Tuesday October 5","Misr-CARPRDAPP","974.11","2","HD#1: 10 GB, HD#2: 800 GB","810","974.1140618985518813133239746"
"Tuesday October 5","Mis-Solman Server","627.13","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1800 GB","2100","2132.0944784004241228103637695"
"Tuesday October 5","Misr-MagentoWeb2","19.33","1","HD#1: 256 GB","256","264.09398825280368328094482422"
"Tuesday October 5","Solex-demo-ectr","590.43","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1016446035355329513549805"
"Tuesday October 5","SolarWind-SAM","99.00","2","HD#1: 100 GB, HD#2: 200 GB","300","320.21402972191572189331054687"
"Tuesday October 5","MISR-SAP-CARDB-copy","629.74","1","HD#1: 2048 GB","2048","2176.1419499870389699935913086"
"Tuesday October 5","ihpgco Kuwait Windows - Backup(new)","165.96","1","HD#1: 250 GB","250","254.08286635391414165496826172"
"Tuesday October 5","SOLEX-SOLMAN-JAVA","123.61","1","HD#1: 300 GB","300","332.06165704689919948577880859"
"Tuesday October 5","Cloud Connector","20.00","1","HD#1: 20 GB","20","24.193264492787420749664306640"
"Tuesday October 5","Office Libre-Production New 1104","155.62","1","HD#1: 160 GB","160","168.19725906196981668472290040"
"Tuesday October 5","Mis-Backup","2822.80","2","HD#1: 60 GB, HD#2: 3072 GB","3132","3140.0941290259361267089843750"
"Tuesday October 5","Exchange-DEV","500.10","2","HD#1: 500 GB, HD#2: 150 GB","650","670.22242358047515153884887695"
"Tuesday October 5","Jump-Server-Tawfik","99.29","1","HD#1: 100 GB","100","120.09419816825538873672485352"
"Tuesday October 5","Frank-OpenManage_Integration","85.98","1","HD#1: 85.98 GB","85.98","94.27992152702063322067260742"
"Tuesday October 5","replaymanager","240.10","3","HD#1: 40 GB, HD#2: 200 GB, HD#3: 300 GB","540","552.22227030806243419647216797"
