"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Sunday October 3","EL-DoctorFortiGate-VM64","7.50","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08564370777457952499389649"
"Sunday October 3","solex-S4-HANA-R5OJ-9/29","1228.81","2","HD#1: 200 GB, HD#2: 774 GB","974","1974.2608841508626937866210938"
"Sunday October 3","Diyaa-Lap","65.79","1","HD#1: 100 GB","100","116.08515423350036144256591797"
"Sunday October 3","Misr-Newvm","54.03","1","HD#1: 100 GB","100","108.08220332022756338119506836"
"Sunday October 3","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306322410702705383300781"
"Sunday October 3","jump-hamd","17.82","1","HD#1: 300 GB","300","308.08647636976093053817749024"
"Sunday October 3","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Sunday October 3","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Sunday October 3","Misr-MagentoDB1","28.80","1","HD#1: 512 GB","512","520.09376134537160396575927735"
"Sunday October 3","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Sunday October 3","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Sunday October 3","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Sunday October 3","jump-ahmed","73.29","1","HD#1: 500 GB","500","508.08631000760942697525024414"
"Sunday October 3","frank-veeamone","45.23","1","HD#1: 200 GB","200","220.09344535879790782928466796"
"Sunday October 3","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479727804660797119140625"
"Sunday October 3","Jump-Server-Karim","196.14","1","HD#1: 700 GB","700","716.08687811158597469329833985"
"Sunday October 3","sofos_virtual_vm8","29.60","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937111146748065948486328"
"Sunday October 3","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08621898945420980453491211"
"Sunday October 3","Mis-Additioanal Domain","23.78","1","HD#1: 50 GB","50","54.082164993509650230407714844"
"Sunday October 3","Misr-MTBIDEVAPP","147.02","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233665443956851959228515"
"Sunday October 3","Misr-Web Server-copy","52.19","1","HD#1: 80 GB","80","84.08232633862644433975219727"
"Sunday October 3","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706359006464481353759766"
"Sunday October 3","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Sunday October 3","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Sunday October 3","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Sunday October 3","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421671081334352493286133"
"Sunday October 3","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Sunday October 3","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Sunday October 3","MISR-MTBIDEVDB","1072.65","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181545797735452651977539"
"Sunday October 3","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.70","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Sunday October 3","MISR-TSMS","55.97","1","HD#1: 60 GB","60","68.086815427057445049285888672"
"Sunday October 3","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Sunday October 3","Misr-TestDB","12.31","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Sunday October 3","Mis-Prod-APP-copy","2280.68","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425547832623124122619629"
"Sunday October 3","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Sunday October 3","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Sunday October 3","Frank-OfficeOnline02","69.23","1","HD#1: 100 GB","100","125.08632643241435289382934570"
"Sunday October 3","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08631927240639925003051758"
"Sunday October 3","el batal crm","107.68","1","HD#1: 340 GB","340","372.09005223121494054794311523"
"Sunday October 3","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Sunday October 3","Frank-OfficeOnline01","79.55","1","HD#1: 100 GB","100","125.08792193047702312469482422"
"Sunday October 3","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Sunday October 3","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08647297509014606475830078"
"Sunday October 3","Elbatal-newcrm","57.70","1","HD#1: 170 GB","170","202.08978222869336605072021484"
"Sunday October 3","test sophos","179.29","1","HD#1: 200 GB","200","208.08793331403285264968872070"
