"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Wednesday October 13","frank-veeamone","66.53","1","HD#1: 200 GB","200","266.17701922170817852020263672"
"Wednesday October 13","Ahmed-centos-test","21.49","1","HD#1: 100 GB","100","116.09240010939538478851318359"
"Wednesday October 13","Madkour-Sharepoint-01","42.53","1","HD#1: 200 GB","200","232.09279514569789171218872070"
"Wednesday October 13","Madkour-Exchange-01","42.13","1","HD#1: 200 GB","200","232.09254473354667425155639648"
"Wednesday October 13","EL-DoctorFortiGate-VM64","7.54","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08576462417840957641601563"
"Wednesday October 13","solex-S4-HANA-R5OJ-9/29","1811.85","2","HD#1: 200 GB, HD#2: 774 GB","974","2404.1145798526704311370849609"
"Wednesday October 13","Diyaa-Lap","66.03","1","HD#1: 100 GB","100","116.08515633083879947662353516"
"Wednesday October 13","Misr-Newvm","52.52","1","HD#1: 100 GB","100","108.08220824133604764938354492"
"Wednesday October 13","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Wednesday October 13","jump-hamd","17.83","1","HD#1: 300 GB","300","308.08647817652672529220581055"
"Wednesday October 13","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Wednesday October 13","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Wednesday October 13","Misr-MagentoDB1","28.34","1","HD#1: 512 GB","512","520.09376463294029235839843750"
"Wednesday October 13","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Wednesday October 13","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691146202385425567626953"
"Wednesday October 13","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Wednesday October 13","jump-ahmed","73.41","1","HD#1: 500 GB","500","508.08634098712354898452758789"
"Wednesday October 13","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Wednesday October 13","Jump-Server-Karim","197.59","1","HD#1: 700 GB","700","716.08689236268401145935058594"
"Wednesday October 13","sofos_virtual_vm8","30.37","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07938489411026239395141602"
"Wednesday October 13","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08622320089489221572875977"
"Wednesday October 13","Mis-Additioanal Domain","23.96","1","HD#1: 50 GB","50","54.082168309018015861511230469"
"Wednesday October 13","Misr-MTBIDEVAPP","147.05","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233803279697895050048828"
"Wednesday October 13","Misr-Web Server-copy","56.02","1","HD#1: 80 GB","80","84.08235947787761688232421875"
"Wednesday October 13","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706556912511587142944336"
"Wednesday October 13","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Wednesday October 13","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Wednesday October 13","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Wednesday October 13","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421684864908456802368165"
"Wednesday October 13","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Wednesday October 13","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Wednesday October 13","MISR-MTBIDEVDB","1069.11","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181304771453142166137695"
"Wednesday October 13","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.71","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Wednesday October 13","MISR-TSMS","58.97","1","HD#1: 60 GB","60","68.086954702623188495635986328"
"Wednesday October 13","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Wednesday October 13","Misr-TestDB","11.73","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Wednesday October 13","Mis-Prod-APP-copy","2281.10","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425580382347106933593750"
"Wednesday October 13","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Wednesday October 13","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Wednesday October 13","Frank-OfficeOnline02","69.89","1","HD#1: 100 GB","100","125.08633151277899742126464844"
"Wednesday October 13","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632331993430852890014649"
"Wednesday October 13","Madkour-Domain-controller","18.52","1","HD#1: 200 GB","200","208.08492624480277299880981446"
"Wednesday October 13","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Wednesday October 13","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Wednesday October 13","Frank-OfficeOnline01","80.04","1","HD#1: 100 GB","100","125.08792714960873126983642578"
"Wednesday October 13","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Wednesday October 13","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08648334164172410964965820"
"Wednesday October 13","Elbatal-newcrm","60.28","1","HD#1: 170 GB","170","202.08981540333479642868041992"
"Wednesday October 13","test sophos","157.94","1","HD#1: 200 GB","200","208.08793934248387813568115234"
"Wednesday October 13","MISR-CARQASAPP","198.94","1","HD#1: 1024 GB","1024","1160.1300723012536764144897461"
"Wednesday October 13","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
"Wednesday October 13","Frank-veeammonitor","9.10","1","HD#1: 200 GB","200","208.21223542466759681701660156"
"Wednesday October 13","infected ihpgco Kuwait Windows (ransomware)","69.67","1","HD#1: 250 GB","250","254.21037761401385068893432617"
"Wednesday October 13","ASFOUR-machine1","176.10","1","HD#1: 160 GB","160","176.10112001653760671615600586"
"Wednesday October 13","Sama","25.98","1","HD#1: 200 GB","200","208.08680793456733226776123047"
"Wednesday October 13","VMware vCenter Server Appliance 6.7-Witness","32.18","13","HD#1: 12 GB, HD#2: 1.66 GB, HD#3: 50 GB, HD#4: 100 GB, HD#5: 25 GB, HD#6: 50 GB, HD#7: 25 GB, HD#8: 500 GB, HD#9: 10 GB, HD#10: 25 GB, HD#11: 25 GB, HD#12: 100 GB, HD#13: 200 GB","1123.66","1155.7922526141628623008728027"
"Wednesday October 13","NFS-nextcloud-2021","28.67","1","HD#1: 500 GB","500","512.09271857049316167831420898"
"Wednesday October 13","Jump-server-Abdo","208.81","1","HD#1: 600 GB","600","616.08641222491860389709472656"
"Wednesday October 13","HAProxy","5.88","1","HD#1: 300 GB","300","316.19699565134942531585693359"
"Wednesday October 13","Misr-ERPQASDB","859.51","1","HD#1: 3072 GB","3072","3352.1261548530310392379760743"
"Wednesday October 13","WP-Syslog-New","20.90","1","HD#1: 1024 GB","1024","1040.2139665288850665092468262"
"Wednesday October 13","Identity Server-Dev","25.64","1","HD#1: 100 GB","100","106.21060530375689268112182617"
"Wednesday October 13","Real-ip","13.79","1","HD#1: 100 GB","100","116.21298116911202669143676757"
"Wednesday October 13","Frank-RODC-01","52.77","1","HD#1: 100 GB","100","116.08651559799909591674804688"
"Wednesday October 13","next-cloud-NFS-server","45.10","1","HD#1: 500 GB","500","552.58994609024375677108764649"
