"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Thursday September 9","clone-nextcloud-dev-new-production","329.20","1","HD#1: 500 GB","500","818.1461502173915505409240723"
"Thursday September 9","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360821120440959930419922"
"Thursday September 9","IGI-AX DB","47.06","1","HD#1: 200 GB","200","202.08165438193827867507934571"
"Thursday September 9","Elbatal-newcrm","49.30","1","HD#1: 170 GB","170","202.08921544440090656280517579"
"Thursday September 9","Misr-TestDB","10.46","1","HD#1: 100 GB","100","104.08143782615661621093750000"
"Thursday September 9","Misr-MagentoDB1","26.41","1","HD#1: 512 GB","512","520.09391454793512821197509766"
"Thursday September 9","Misr-MagentoDB2","25.99","1","HD#1: 512 GB","512","520.09374419227242469787597657"
"Thursday September 9","Misr-MagentoWeb1","15.81","1","HD#1: 256 GB","256","264.09415414463728666305541992"
"Thursday September 9","Frank-Roaya-WebSite","24.44","1","HD#1: 300 GB","300","308.08490187861025333404541015"
"Thursday September 9","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59607462212443351745605469"
"Thursday September 9","Sap Router","24.08","1","HD#1: 20 GB","20","24.081062011420726776123046875"
"Thursday September 9","Misr-MagentoWeb2","17.85","1","HD#1: 256 GB","256","264.09316177573055028915405274"
"Thursday September 9","Solex-demo-ectr","584.82","6","HD#1: 70 GB, HD#2: 250 GB, HD#3: 40 GB, HD#4: 20 GB, HD#5: 20 GB, HD#6: 450 GB","850","850.1013181107118725776672363"
"Thursday September 9","Cloud Connector","24.08","1","HD#1: 20 GB","20","24.081352472305297851562500000"
"Thursday September 9","SOLEX-SOLMAN-JAVA","123.50","1","HD#1: 300 GB","300","332.06123055797070264816284180"
"Thursday September 9","test sophos","197.62","2","HD#1: 200 GB, HD#2: 40 GB","240","248.08652423042804002761840820"
"Thursday September 9","ALFA-DAXRPT-COPY","633.27","1","HD#1: 650 GB","650","666.21661805361509323120117187"
"Thursday September 9","Jump-server-Abdo","181.33","1","HD#1: 500 GB","500","516.08622800000011920928955078"
