"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB"
"Tuesday August 3","DP-S4H-APP-DEV-IWVB","373.52","2","HD#1: 60 GB, HD#2: 815 GB","875"
"Tuesday August 3","Alfa-Test-uCQi","18.68","1","HD#1: 80 GB","80"
"Tuesday August 3","Egypt-Cables-5001-sRfn","44.65","1","HD#1: 340 GB","340"
"Tuesday August 3","LEADERS-DB FUTURERS+FUTURAHK-Bqjv","50.56","1","HD#1: 400 GB","400"
"Tuesday August 3","Family-Corp-HANA-QAS-Q6kF","571.54","2","HD#1: 100 GB, HD#2: 590 GB","690"
"Tuesday August 3","ACT-VM-04-h3lb","11.57","1","HD#1: 500 GB","500"
"Tuesday August 3","Future-ERP-System-5Phq-r3lw","521.45","3","HD#1: 380 GB, HD#2: 120 GB, HD#3: 380 GB","880"
"Tuesday August 3","Developer-VM3-9Ioi","69.46","1","HD#1: 160 GB","160"
"Tuesday August 3","Copy-El-Reyada-VM-EcJu","1075.49","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Axapta-DB-IGI-9LD9","202.09","2","HD#1: 100 GB, HD#2: 100 GB","200"
"Tuesday August 3","Family-Corp-SAP-Router-Vtvz","29.08","1","HD#1: 25 GB","25"
"Tuesday August 3","NFS-Shared-eg7E","987.68","2","HD#1: 60 GB, HD#2: 1024 GB","1084"
"Tuesday August 3","Family-Web -dispatcher-OoDw","9.04","1","HD#1: 25 GB","25"
"Tuesday August 3","concrete-2-i4LC","30.58","1","HD#1: 150 GB","150"
"Tuesday August 3","IGI-Axapta-APP-yIZe","112.15","1","HD#1: 110 GB","110"
"Tuesday August 3","Family-Corp-HANA-DEV-jnC6","755.35","1","HD#1: 1500 GB","1500"
"Tuesday August 3","SAP-ROUTER-vyos","8.11","2","HD#1: 40 GB, HD#2: 40 GB","80"
"Tuesday August 3","hefny-pharma-5l7S","322.16","1","HD#1: 500 GB","500"
"Tuesday August 3","ser19-DbcF","67.95","1","HD#1: 600 GB","600"
"Tuesday August 3","DP-S4H-APP-PRD-RgdR","57.88","2","HD#1: 60 GB, HD#2: 246 GB","306"
"Tuesday August 3","ACT-VM-02-MAgt","102.48","1","HD#1: 500 GB","500"
"Tuesday August 3","machine2-NyKd","92.91","1","HD#1: 250 GB","250"
"Tuesday August 3","DP-HANA-Cockpit-6lDc","88.28","2","HD#1: 60 GB, HD#2: 52 GB","112"
"Tuesday August 3","4Am-DAXRDS-yhsv-Copy-10GU","106.40","1","HD#1: 250 GB","250"
"Tuesday August 3","Elbatal-VM-HeOb","88.23","1","HD#1: 180 GB","180"
"Tuesday August 3","ADC-fpzQ","9.15","1","HD#1: 40 GB","40"
"Tuesday August 3","Alfa-DAXRDS-zvo6","96.39","1","HD#1: 250 GB","250"
"Tuesday August 3","DP-Business-Int-h9iA","110.48","2","HD#1: 214 GB, HD#2: 250 GB","464"
"Tuesday August 3","Solex-Oxv0","660.77","2","HD#1: 200 GB, HD#2: 1049 GB","1249"
"Tuesday August 3","ACt-VM-05-WlaE","41.07","1","HD#1: 500 GB","500"
"Tuesday August 3","Future-ERP-01-mj5z","14.27","3","HD#1: 120 GB, HD#2: 380 GB, HD#3: 380 GB","880"
"Tuesday August 3","Rentex-VM-B4AZ","38.57","1","HD#1: 1024 GB","1024"
"Tuesday August 3","GlobalTech-Ubu-SAVs","33.70","1","HD#1: 400 GB","400"
"Tuesday August 3","DP-S4H-DB-PRD-6x2M","531.06","2","HD#1: 60 GB, HD#2: 918 GB","978"
"Tuesday August 3","Alfa-Test 10 Days-16Sk","310.72","1","HD#1: 400 GB","400"
"Tuesday August 3","solex-S4-HANA-EQQ7","304.35","2","HD#1: 200 GB, HD#2: 774 GB","974"
"Tuesday August 3","Alfa-DAXEP-O9sY","60.28","1","HD#1: 250 GB","250"
"Tuesday August 3","Alfa-DAXRPT-bA5n","385.81","1","HD#1: 650 GB","650"
"Tuesday August 3","PRO_ODOOOVF-rUDa","516.09","1","HD#1: 500 GB","500"
"Tuesday August 3","mailbox server-01-F4Ms","44.29","1","HD#1: 60 GB","60"
"Tuesday August 3","Alfa-DAXRT-Yqno","61.69","1","HD#1: 250 GB","250"
"Tuesday August 3","ping test-GDpi","100.00","1","HD#1: 100 GB","100"
"Tuesday August 3","Hamd-RootCA-M8aT","36.21","2","HD#1: 80 GB, HD#2: 420 GB","500"
"Tuesday August 3","Esxi-03-yAu6","1.15","2","HD#1: 80 GB, HD#2: 420 GB","500"
"Tuesday August 3","Client-7ug4","19.50","1","HD#1: 40 GB","40"
"Tuesday August 3","CRM-siko","116.60","1","HD#1: 340 GB","340"
"Tuesday August 3","Alfa-Backup-us3m","1500.09","2","HD#1: 80 GB, HD#2: 2048 GB","2128"
"Tuesday August 3","dns&veam&stoage-q5zH","158.61","2","HD#1: 300 GB, HD#2: 350 GB","650"
"Tuesday August 3","Alfa-ADD-ySut","27.45","1","HD#1: 300 GB","300"
"Tuesday August 3","Alfa-DAXAOSB-YyLF","54.83","1","HD#1: 250 GB","250"
"Tuesday August 3","Alfa-DAXDB-7Qts","736.17","1","HD#1: 1250 GB","1250"
"Tuesday August 3","venus-app-twM3","79.81","2","HD#1: 100 GB, HD#2: 100 GB","200"
"Tuesday August 3","Hamd-HAProxy-1UmZ","18.47","1","HD#1: 128 GB","128"
"Tuesday August 3","Copy-Developer-VM1-rxGz-Njvp","169.41","1","HD#1: 260 GB","260"
"Tuesday August 3","windows-2016-JY8V","15.99","1","HD#1: 100 GB","100"
"Tuesday August 3","Wahba-IMSVA-2RzS","14.20","1","HD#1: 200 GB","200"
"Tuesday August 3","Developer-VM2-Ddj3","324.67","2","HD#1: 400 GB, HD#2: 100 GB","500"
"Tuesday August 3","Wahba-Win10-XrBT","19.10","1","HD#1: 100 GB","100"
"Tuesday August 3","front-end-01-p8aV","0.00","1","HD#1: 160 GB","160"
"Tuesday August 3","solex-solman7-2-PnPZ","137.26","1","HD#1: 600 GB","600"
"Tuesday August 3","HAProxy-PvxS","25.80","1","HD#1: 300 GB","300"
"Tuesday August 3","Wahba-Exchange-I6xk","161.33","1","HD#1: 500 GB","500"
"Tuesday August 3","Wahba-AD-TiZL","22.05","1","HD#1: 300 GB","300"
"Tuesday August 3","WPEU1MB9001-cfmy","14.60","1","HD#1: 100 GB","100"
"Tuesday August 3","WPEU1DCPOOL-kx0o","16.00","1","HD#1: 100 GB","100"
"Tuesday August 3","WPEU1DCM101-sEHM","18.60","1","HD#1: 100 GB","100"
