"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB"
"Tuesday August 3","WP-Syslog-New","36.96","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Identity Server-Dev","25.64","1","HD#1: 100 GB","100"
"Tuesday August 3","Real-ip","13.79","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-RODC-01","42.99","1","HD#1: 100 GB","100"
"Tuesday August 3","SQL-Server-Solid","211.73","2","HD#1: 450 GB, HD#2: 300 GB","750"
"Tuesday August 3","J-S-Hamd","10.41","1","HD#1: 100 GB","100"
"Tuesday August 3","HAProxy","7.84","1","HD#1: 300 GB","300"
"Tuesday August 3","EU100S602","47.79","1","HD#1: 200 GB","200"
"Tuesday August 3","sandbox","19.93","1","HD#1: 300 GB","300"
"Tuesday August 3","Mis-Winsows2012R2","864.87","4","HD#1: 150 GB, HD#2: 200 GB, HD#3: 700 GB, HD#4: 2048 GB","3098"
"Tuesday August 3","WP-Frank-Database3","400.00","1","HD#1: 400 GB","400"
"Tuesday August 3","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500"
"Tuesday August 3","MISR-SAP-CARDB-copy","887.32","1","HD#1: 2048 GB","2048"
"Tuesday August 3","ihpgco Kuwait Windows - Backup(new)","162.95","1","HD#1: 250 GB","250"
"Tuesday August 3","SolarWind-SAM","127.75","2","HD#1: 100 GB, HD#2: 200 GB","300"
"Tuesday August 3","jump-ahmed","33.50","1","HD#1: 400 GB","400"
"Tuesday August 3","Misr-ERPDEVDB","1492.22","1","HD#1: 2355.20 GB","2355.2"
"Tuesday August 3","Frank-ADC-01","38.58","1","HD#1: 100 GB","100"
"Tuesday August 3","Misr-Tableau","126.19","1","HD#1: 150 GB","150"
"Tuesday August 3","WP-RootCA","61.27","1","HD#1: 100 GB","100"
"Tuesday August 3","MISR-NFS","11735.05","2","HD#1: 50 GB, HD#2: 13312 GB","13362"
"Tuesday August 3","Frank-DNS-MGMNT","50.64","2","HD#1: 100 GB, HD#2: 50 GB","150"
"Tuesday August 3","Mis-Additioanal Domain","23.48","1","HD#1: 50 GB","50"
"Tuesday August 3","Misr-Qatr","185.75","1","HD#1: 500 GB","500"
"Tuesday August 3","Frank-Kbase-Source","297.38","2","HD#1: 100 GB, HD#2: 1024 GB","1124"
"Tuesday August 3","wp-frank-antivirus (DB)-cpoy","146.37","1","HD#1: 400 GB","400"
"Tuesday August 3","Misr-MTBIDEVAPP","216.65","2","HD#1: 500 GB, HD#2: 10 GB","510"
"Tuesday August 3","Frank-MBM-D36","1271.39","3","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB","4296"
"Tuesday August 3","esxi1","29.32","1","HD#1: 400 GB","400"
"Tuesday August 3","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500"
"Tuesday August 3","Frank-OfficeOnline01","145.16","1","HD#1: 100 GB","100"
"Tuesday August 3","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024"
"Tuesday August 3","J-S-Peter","116.09","1","HD#1: 100 GB","100"
"Tuesday August 3","MISR-SAP-CARAPP","116.56","1","HD#1: 2048 GB","2048"
"Tuesday August 3","SQL-Server-Solid2","218.01","2","HD#1: 400 GB, HD#2: 300 GB","700"
"Tuesday August 3","Frank-OfficeOnline02","104.94","1","HD#1: 100 GB","100"
"Tuesday August 3","Frank-Wsus-new","318.33","2","HD#1: 80 GB, HD#2: 500 GB","580"
"Tuesday August 3","Frank-EventLog","3092.60","1","HD#1: 4024 GB","4024"
"Tuesday August 3","DAXRDS-yhsv-Copy","142.85","1","HD#1: 250 GB","250"
"Tuesday August 3","Mis-Solman Server","627.00","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1800 GB","2100"
"Tuesday August 3","Misr-CARPRDAPP","974.11","2","HD#1: 10 GB, HD#2: 800 GB","810"
"Tuesday August 3","EU1FE3112","191.99","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1FE9222","675.06","2","HD#1: 500 GB, HD#2: 500 GB","1000"
"Tuesday August 3","Misr-ENTERPRISESRV","1074.12","1","HD#1: 1024 GB","1024"
"Tuesday August 3","Frank-Trend2019-DEV","47.08","1","HD#1: 500 GB","500"
"Tuesday August 3","EU1OOS601","27.39","1","HD#1: 200 GB","200"
"Tuesday August 3","next-cloud-NFS-server","56.93","1","HD#1: 500 GB","500"
"Tuesday August 3","Mis-CAR-PRD DB Server","1152.56","1","HD#1: 2048 GB","2048"
"Tuesday August 3","PowerEye","27.53","1","HD#1: 100 GB","100"
"Tuesday August 3","centos-block-storage","14354.21","2","HD#1: 500 GB, HD#2: 14336 GB","14836"
"Tuesday August 3","MISR-MTBIDEVDB","1736.65","2","HD#1: 1300 GB, HD#2: 10 GB","1310"
