"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Saturday October 9","EL-DoctorFortiGate-VM64","7.54","2","HD#1: 2 GB, HD#2: 100 GB","102","106.08574358187615871429443360"
"Saturday October 9","solex-S4-HANA-R5OJ-9/29","1556.66","2","HD#1: 200 GB, HD#2: 774 GB","974","2404.1122211581096053123474121"
"Saturday October 9","Diyaa-Lap","67.58","1","HD#1: 100 GB","100","116.08515539579093456268310547"
"Saturday October 9","Misr-Newvm","54.95","1","HD#1: 100 GB","100","108.08220551908016204833984375"
"Saturday October 9","NFS-Server-Nexcloud","512.09","1","HD#1: 500 GB","500","512.09306336566805839538574218"
"Saturday October 9","jump-hamd","17.83","1","HD#1: 300 GB","300","308.08647745382040739059448242"
"Saturday October 9","Frank-MBX","43.73","1","HD#1: 100 GB","100","132.21883438434451818466186524"
"Saturday October 9","NFS-NEXTCLOUD-01","5.14","1","HD#1: 500 GB","500","508.21346822753548622131347656"
"Saturday October 9","Misr-MagentoDB1","28.64","1","HD#1: 512 GB","512","520.09376339521259069442749024"
"Saturday October 9","ALFA-DAXRPT-COPY","621.37","1","HD#1: 650 GB","650","666.21318894438445568084716797"
"Saturday October 9","Frank-WP-WebSite","44.24","1","HD#1: 300 GB","300","342.59691124968230724334716797"
"Saturday October 9","WorldPosta-WebSite","13.23","1","HD#1: 200 GB","200","216.19734252709895372390747070"
"Saturday October 9","jump-ahmed","74.43","1","HD#1: 500 GB","500","508.08631229959428310394287110"
"Saturday October 9","frank-veeamone","45.22","1","HD#1: 200 GB","200","220.09345003310590982437133789"
"Saturday October 9","centos-kibana","14.16","1","HD#1: 500 GB","500","508.08479734882712364196777344"
"Saturday October 9","Jump-Server-Karim","197.05","1","HD#1: 700 GB","700","716.08688831236213445663452149"
"Saturday October 9","sofos_virtual_vm8","30.13","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07937594316899776458740234"
"Saturday October 9","Jump-Server-Moataz","27.44","1","HD#1: 100 GB","100","116.08622151333838701248168946"
"Saturday October 9","Mis-Additioanal Domain","23.78","1","HD#1: 50 GB","50","54.082166982814669609069824219"
"Saturday October 9","Misr-MTBIDEVAPP","147.03","2","HD#1: 500 GB, HD#2: 10 GB","510","580.10233748145401477813720703"
"Saturday October 9","Misr-Web Server-copy","54.75","1","HD#1: 80 GB","80","84.08234587777405977249145508"
"Saturday October 9","jump-gabr","216.09","1","HD#1: 200 GB","200","216.08706449344754219055175781"
"Saturday October 9","WP-Messanger-DB-WIN .72","31.28","1","HD#1: 500 GB","500","510.21776332240551710128784180"
"Saturday October 9","WP-OdOO","14.77","1","HD#1: 200 GB","200","202.19734862167388200759887695"
"Saturday October 9","tiba group","11.37","1","HD#1: 500 GB","500","516.22133482713252305984497070"
"Saturday October 9","Misr-CARPRDDB","2216.14","2","HD#1: 10 GB, HD#2: 1800 GB","1810","2216.1421679351478815078735352"
"Saturday October 9","ERP-DEV-sQmN","65.66","1","HD#1: 300 GB","300","324.21219908073544502258300781"
"Saturday October 9","Frank-tools01.Roaya.loc_replica","70.95","1","HD#1: 500.00 GB","500","596.15814815275371074676513672"
"Saturday October 9","MISR-MTBIDEVDB","1072.81","2","HD#1: 1300 GB, HD#2: 10 GB","1310","1510.1181186670437455177307129"
"Saturday October 9","vROps-Tenant-App-for-vCD-2.3.0.33067-14826907","20.71","3","HD#1: 12 GB, HD#2: 60 GB, HD#3: 15 GB","87","95.08141431584954261779785156"
"Saturday October 9","MISR-TSMS","56.11","1","HD#1: 60 GB","60","68.086843977682292461395263672"
"Saturday October 9","IGI-Testing1","52.08","1","HD#1: 50 GB","50","52.078360891900956630706787109"
"Saturday October 9","Misr-TestDB","11.85","1","HD#1: 100 GB","100","104.08198248781263828277587891"
"Saturday October 9","Mis-Prod-APP-copy","2280.52","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2304.1425566291436553001403808"
"Saturday October 9","shared iso","13.52","1","HD#1: 300 GB","300","308.21294179372489452362060547"
"Saturday October 9","Sap Router","20.00","1","HD#1: 20 GB","20","24.192958207800984382629394531"
"Saturday October 9","Frank-OfficeOnline02","69.76","1","HD#1: 100 GB","100","125.08632946386933326721191406"
"Saturday October 9","Frank-Wsus-new","327.18","2","HD#1: 80 GB, HD#2: 500 GB","580","600.08632163051515817642211914"
"Saturday October 9","el batal crm","75.59","1","HD#1: 340 GB","340","372.20171984191983938217163086"
"Saturday October 9","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339378457516431808471679"
"Saturday October 9","Frank-OfficeOnline01","79.99","1","HD#1: 100 GB","100","125.08792501874268054962158203"
"Saturday October 9","WP-Messanger-Centos .73-copy","23.68","1","HD#1: 1024 GB","1024","1032.2136428141966462135314942"
"Saturday October 9","J-S-Peter","116.09","1","HD#1: 100 GB","100","116.08648067619651556015014648"
"Saturday October 9","Elbatal-newcrm","59.33","1","HD#1: 170 GB","170","202.08981335442513227462768554"
"Saturday October 9","test sophos","162.60","1","HD#1: 200 GB","200","208.08793927170336246490478515"
"Saturday October 9","MISR-CARQASAPP","198.92","1","HD#1: 1024 GB","1024","1160.1300393706187605857849121"
"Saturday October 9","J-S-Hamd","10.57","1","HD#1: 100 GB","100","116.21397759579122066497802734"
