"Date","VMName","UsedDiskSpaceGB","HardDiskCount","HardDiskData","TotalDiskSpaceGB","ProvisionedSpaceGB"
"Sunday August 8","SOLEX-SOLMAN-JAVA","117.71","1","HD#1: 300 GB","300","332.06109762657433748245239258"
"Sunday August 8","test sophos","23.94","1","HD#1: 200 GB","200","208.08462756872177124023437500"
"Sunday August 8","ALFA-DAXRPT-COPY","324.80","1","HD#1: 650 GB","650","845.6054955199360847473144531"
"Sunday August 8","Jump-server-Abdo","161.04","1","HD#1: 500 GB","500","516.08654025755822658538818359"
"Sunday August 8","Mis-SAP-H-DB","1639.28","3","HD#1: 2500 GB, HD#2: 1843.20 GB, HD#3: 1843.20 GB","6186.4","6536.5381355183199048042297363"
"Sunday August 8","MISR-TSMS","55.25","1","HD#1: 60 GB","60","68.085889208130538463592529297"
"Sunday August 8","Jump-Server-Moataz","27.45","1","HD#1: 100 GB","100","116.08619727008044719696044922"
"Sunday August 8","Mis-Prod-APP-copy","440.99","3","HD#1: 100 GB, HD#2: 200 GB, HD#3: 1748 GB","2048","2336.3965187408030033111572265"
"Sunday August 8","Misr-ERPPRDDB","2363.22","1","HD#1: 3072 GB","3072","3914.3841098770499229431152344"
"Sunday August 8","RADUIS-Server","30.01","1","HD#1: 100 GB","100","108.08650464192032814025878906"
"Sunday August 8","Mis-CAR-PRD APP Server","95.98","1","HD#1: 2048 GB","2048","2080.0943712228909134864807129"
"Sunday August 8","frank-d35","4434.74","6","HD#1: 200 GB, HD#2: 2048 GB, HD#3: 2048 GB, HD#4: 2048 GB, HD#5: 2048 GB, HD#6: 200 GB","8592","8616.094209615141153335571289"
"Sunday August 8","sofos_virtual_vm8","11.33","2","HD#1: 16 GB, HD#2: 80 GB","96","100.07912352308630943298339844"
"Sunday August 8","el batal crm","138.52","1","HD#1: 340 GB","340","454.24749917630106210708618164"
"Sunday August 8","AWS-SMS-Connector","299.00","5","HD#1: 16 GB, HD#2: 8 GB, HD#3: 4 GB, HD#4: 250 GB, HD#5: 21.00 GB","299","301.19339371100068092346191406"
